,time,易安音乐社,拾又之国,怦然心动,无啼,御伽草子,卡珊德拉
0,2018-08-27 11:49,261625,119453,185382,150644,139448,139976
1,2018-08-27 11:50,261651,119453,185386,150645,139448,139976
2,2018-08-27 11:51,261676,119454,185389,150645,139448,139976
3,2018-08-27 11:52,261700,119454,185391,150645,139448,139976
4,2018-08-27 11:53,261711,119457,185396,150645,139448,139976
5,2018-08-27 11:54,261717,119459,185399,150645,139448,139976
6,2018-08-27 11:55,261734,119462,185404,150645,139448,139976
7,2018-08-27 11:56,261777,119463,185407,150645,139448,139977
8,2018-08-27 11:57,261811,119463,185411,150645,139448,139977
9,2018-08-27 11:58,261849,119464,185414,150645,139448,139977
10,2018-08-27 11:59,261875,119465,185419,150646,139448,139978
11,2018-08-27 12:00,261926,119465,185419,150646,139449,139978
12,2018-08-27 12:01,261967,119465,185420,150646,139449,139978
13,2018-08-27 12:02,262005,119465,185421,150646,139449,139978
14,2018-08-27 12:03,262017,119465,185425,150647,139449,139978
15,2018-08-27 12:04,262030,119465,185429,150649,139449,139979
16,2018-08-27 12:05,262040,119465,185433,150650,139449,139979
17,2018-08-27 12:06,262048,119466,185434,150650,139449,139979
18,2018-08-27 12:07,262056,119468,185435,150652,139449,139980
19,2018-08-27 12:08,262087,119469,185441,150653,139449,139981
20,2018-08-27 12:09,262111,119470,185442,150653,139449,139981
21,2018-08-27 12:10,262121,119471,185443,150654,139450,139982
22,2018-08-27 12:11,262132,119473,185445,150654,139450,139982
23,2018-08-27 12:12,262155,119474,185449,150654,139450,139982
24,2018-08-27 12:13,262177,119474,185451,150654,139450,139982
25,2018-08-27 12:14,262197,119475,185455,150654,139450,139982
26,2018-08-27 12:15,262204,119475,185457,150655,139451,139982
27,2018-08-27 12:16,262208,119476,185459,150655,139451,139982
28,2018-08-27 12:17,262215,119476,185459,150655,139451,139982
29,2018-08-27 12:18,262218,119476,185460,150655,139451,139982
30,2018-08-27 12:19,262237,119476,185465,150655,139451,139982
31,2018-08-27 12:20,262241,119476,185469,150655,139451,139982
32,2018-08-27 12:21,262243,119476,185474,150656,139451,139982
33,2018-08-27 12:22,262249,119477,185476,150656,139451,139982
